,open,high,low,close,volume,datetime
3033,57953.63,58146.84,57924.0,58058.6,555.03,2024-09-13 09:00:00
3034,58058.6,58350.0,58031.11,58343.99,603.14,2024-09-13 10:00:00
3035,58343.99,58343.99,57815.0,57871.1,933.49,2024-09-13 11:00:00
3036,57871.1,57951.1,57632.62,57910.0,1463.01,2024-09-13 12:00:00
3037,57910.01,58157.12,57686.67,58056.01,1359.26,2024-09-13 13:00:00
3038,58056.0,58553.01,57833.38,58456.89,2473.05,2024-09-13 14:00:00
3039,58456.89,59723.97,58362.0,59667.38,4934.87,2024-09-13 15:00:00
3040,59666.01,59796.7,59312.01,59452.31,2444.84,2024-09-13 16:00:00
3041,59452.31,59971.17,59444.04,59584.0,1593.31,2024-09-13 17:00:00
3042,59584.0,59900.0,59478.0,59752.17,1119.08,2024-09-13 18:00:00
3043,59752.17,59999.0,59652.72,59743.99,1281.67,2024-09-13 19:00:00
3044,59743.99,59956.0,59633.4,59838.52,643.71,2024-09-13 20:00:00
3045,59838.52,60358.0,59822.0,60283.86,2104.72,2024-09-13 21:00:00
3046,60283.85,60625.0,60240.0,60608.0,2041.22,2024-09-13 22:00:00
3047,60608.0,60623.48,60169.0,60498.0,1330.88,2024-09-13 23:00:00
3048,60497.99,60610.45,60372.77,60414.39,753.37,2024-09-14 00:00:00
3049,60414.39,60595.7,60406.06,60406.06,590.93,2024-09-14 01:00:00
3050,60406.06,60496.0,60285.55,60287.99,465.88,2024-09-14 02:00:00
3051,60288.0,60431.98,60287.99,60329.37,465.89,2024-09-14 03:00:00
3052,60329.38,60348.24,60184.86,60213.05,480.76,2024-09-14 04:00:00
3053,60213.06,60242.47,59900.32,59926.0,1113.75,2024-09-14 05:00:00
3054,59926.0,60079.36,59900.0,60046.0,484.88,2024-09-14 06:00:00
3055,60046.01,60174.0,59998.01,60138.14,440.82,2024-09-14 07:00:00
3056,60138.14,60156.0,59933.94,59973.99,480.78,2024-09-14 08:00:00
3057,59973.99,60070.21,59858.58,60070.2,651.32,2024-09-14 09:00:00
3058,60070.2,60070.21,59789.32,59851.09,515.52,2024-09-14 10:00:00
3059,59851.1,59851.1,59605.98,59706.39,556.28,2024-09-14 11:00:00
3060,59706.4,59851.27,59626.01,59794.03,405.89,2024-09-14 12:00:00
3061,59794.03,59794.03,59646.0,59769.11,348.57,2024-09-14 13:00:00
3062,59769.11,60010.0,59706.0,59914.0,646.74,2024-09-14 14:00:00
3063,59914.0,59949.11,59828.07,59876.0,303.1,2024-09-14 15:00:00
3064,59875.99,59982.0,59838.22,59981.99,298.04,2024-09-14 16:00:00
3065,59982.0,59983.39,59854.32,59885.26,222.91,2024-09-14 17:00:00
3066,59885.26,59897.79,59400.0,59786.0,1444.65,2024-09-14 18:00:00
3067,59786.01,59903.56,59735.16,59810.0,168.4,2024-09-14 19:00:00
3068,59810.01,60134.13,59774.0,60024.01,575.12,2024-09-14 20:00:00
3069,60024.02,60056.71,59950.21,60036.0,259.37,2024-09-14 21:00:00
3070,60036.01,60125.0,59940.0,60006.97,279.17,2024-09-14 22:00:00
3071,60006.97,60050.0,59936.91,59993.03,185.78,2024-09-14 23:00:00
3072,59993.02,60119.42,59986.01,60025.95,194.47,2024-09-15 00:00:00
3073,60025.95,60280.06,60025.95,60235.22,503.55,2024-09-15 01:00:00
3074,60235.22,60267.86,60116.0,60238.01,363.74,2024-09-15 02:00:00
